,Tubelabel,Health_Status ,Sample_Weight,Extraction_Date,Raw_ng_ul,Extract_Location,16S_PCR_Complete,,Date_Libprep,Notes ,Seq_date,Microbe_seq_file_R1,Microbe_seq_file_R2,Seq_Location (in Unity),Sample_Code = datecollected_tagnumber_transect_samplenumber_species
25,102025_COL_SAN_Protran1_281_OFAV,H - T,0.1446g,6/25/2026,4.10ng/ul,UML_Penguin_Brandon_Box1,,,,incl 100ul liq,,,,,
26,102025_COL_SAN_Protran1_312_OFAV,H - T,0.1511g,6/25/2026,0.562ng/ul,UML_Penguin_Brandon_Box1,,,,"very small tissue sample, incl 100ul liq",,,,,
27,102025_COL_SAN_Protran1_34_OFAV,H - T,0.008g,6/30/2026,31.4ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
28,102025_COL_SAN_Protran1_48_OFAV,H - T,0.0644g,6/30/2026,26.4ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
29,102025_COL_SAN_Protran1_81_OFAV,H - T,0.0195g,6/30/2026,31.8ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
30,102025_COL_SAN_Protran1_95_OFAV,H - T,0.0135g,6/30/2026,25.8ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
31,102025_COL_SAN_Protran1_141_OFAV,H - T,0.0072g,6/30/2026,6.98ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
32,102025_COL_SAN_Protran1_179_OFAV,H - T,0.1453g,6/30/2026,7.16ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
33,102025_COL_SAN_Protran1_210_OFAV,D - T,0.1302g,6/30/2026,4.34ng/ul,UML_Penguin_Brandon_Box1,,,,"very small tissue sample, included 100ul liq",,,,,
34,102025_COL_SAN_Protran1_253_OFAV,H - T,0.1641g,6/30/2026,3.42ng/ul,UML_Penguin_Brandon_Box1,,,,"small, not as small as above. Incl 100ul liq",,,,,
35,102025_COL_SAN_Protran1_298_OFAV,H - T,0.0265g,6/30/2026,16.3ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
36,102025_COL_SAN_Protran1_35_OFAV,H - T,0.1273g,7/3/2026,15.2ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
37,102025_COL_SAN_Protran1_85_OFAV,H - T,0.1378g,7/3/2026,9.58ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
38,102025_COL_SAN_Protran1_174_OFAV,H - T,0.1436g,7/3/2026,14.0ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
39,102025_COL_SAN_Protran1_246_OFAV,H - T,0.1343g,7/3/2026,1.8ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
40,102025_COL_SAN_Protran1_280_OFAV,H - T,0.1455g,7/3/2026,3.32ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
41,102025_COL_SAN_Protran1_290_OFAV,H - T,0.1340g,7/3/2026,32.2ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
42,102025_COL_SAN_Protran1_319_OFAV,D - T,0.1367g,7/3/2026,32.0ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
43,102025_COL_SAN_Protran1_325_OFAV,D - T,0.0610g,7/3/2026,10.5ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
44,102025_COL_SAN_Protran1_346_OFAV,D - T,0.1086g,7/3/2026,20.0ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
45,102025_COL_SAN_Protran1_36_OFAV,H - T,0.0228g,7/72026,11.7ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
46,102025_COL_SAN_Protran1_84_OFAV,H - T,0.0086g,7/72026,10.5ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
47,102025_COL_SAN_Protran1_129_OFAV,H - T,0.0072g,7/72026,4.24ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
48,102025_COL_SAN_Protran1_173_OFAV,H - T,0.0156g,7/72026,2.4ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
49,102025_COL_SAN_Protran1_243_OFAV,H - T,0.1311g,7/72026,0.266ng/ul,UML_Penguin_Brandon_Box1,,,,inclu 100ul liq,,,,,
50,102025_COL_SAN_Protran1_249_OFAV,H - T,0.0115g,7/72026,5.82ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
51,102025_COL_SAN_Protran1_285_OFAV,H - T,0.0084g,7/72026,2.3ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
52,102025_COL_SAN_Protran1_295_OFAV,H - T,0.0153g,7/72026,7.2ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
53,102025_COL_SAN_Protran1_323_OFAV,D - T,0.0042g,7/72026,19.3ng/ul,UML_Penguin_Brandon_Box1,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
